name,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre_1,genre_10,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,id,instrumentalness,key,liveness,loudness,mode,n_genres,popularity,speechiness,tempo,time_signature,track_href,type,uri,valence
Clocks,0.599,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,Coldplay,0.577,307880,0.749,permanent wave,,pop,,,,,,,,0BCPKOYdS2jbQ8iyB56Zns,0.0112,5,0.183,-7.215,0,2,75,0.0279,130.969,4,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,audio_features,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,0.261
Stranger Things (feat. OneRepublic),0.234,https://api.spotify.com/v1/audio-analysis/4sJqSKPc5fZ5OZ8JiVI44N,Kygo,0.604,221440,0.661,edm,,pop,tropical house,,,,,,,4sJqSKPc5fZ5OZ8JiVI44N,0.0,0,0.0951,-5.914,1,3,69,0.0375,107.016,4,https://api.spotify.com/v1/tracks/4sJqSKPc5fZ5OZ8JiVI44N,audio_features,spotify:track:4sJqSKPc5fZ5OZ8JiVI44N,0.506
Save Tonight (feat. Solamay),0.292,https://api.spotify.com/v1/audio-analysis/2PWKdiDjYkkOdInPxGrP51,Robin Schulz,0.631,216933,0.74,dance pop,,deep euro house,deep house,edm,pop,tropical house,,,,2PWKdiDjYkkOdInPxGrP51,0.0,10,0.244,-6.206,1,6,55,0.112,121.962,4,https://api.spotify.com/v1/tracks/2PWKdiDjYkkOdInPxGrP51,audio_features,spotify:track:2PWKdiDjYkkOdInPxGrP51,0.396
Burning Bridges,0.051,https://api.spotify.com/v1/audio-analysis/3qd6wKpFQf4JljGU7y18CJ,OneRepublic,0.579,257573,0.739,dance pop,,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop,,,3qd6wKpFQf4JljGU7y18CJ,0.0,1,0.083,-5.266,1,7,47,0.0258,97.976,4,https://api.spotify.com/v1/tracks/3qd6wKpFQf4JljGU7y18CJ,audio_features,spotify:track:3qd6wKpFQf4JljGU7y18CJ,0.235
My Shadow,0.0222,https://api.spotify.com/v1/audio-analysis/7f208BAaf1Hw1dCKBwZe8M,Keane,0.49,289360,0.416,neo mellow,,piano rock,pop rock,rock,,,,,,7f208BAaf1Hw1dCKBwZe8M,9.53e-05,9,0.0938,-8.025,1,4,43,0.0301,98.135,4,https://api.spotify.com/v1/tracks/7f208BAaf1Hw1dCKBwZe8M,audio_features,spotify:track:7f208BAaf1Hw1dCKBwZe8M,0.0449
Fake It,0.212,https://api.spotify.com/v1/audio-analysis/5OALp7wDh1vM2nza1qDArn,Bastille,0.594,244136,0.75,metropopolis,,modern rock,pop,,,,,,,5OALp7wDh1vM2nza1qDArn,2.33e-06,0,0.19,-4.674,0,3,54,0.0431,144.993,4,https://api.spotify.com/v1/tracks/5OALp7wDh1vM2nza1qDArn,audio_features,spotify:track:5OALp7wDh1vM2nza1qDArn,0.246
Keep on Walking,0.0438,https://api.spotify.com/v1/audio-analysis/2D3FIXKFNelMTv58DH9YeJ,Gabrielle Aplin,0.537,171560,0.665,acoustic pop,viral pop,dance pop,folk-pop,indie anthem-folk,indie folk,neo mellow,neo-singer-songwriter,pop,uk pop,2D3FIXKFNelMTv58DH9YeJ,0.0,7,0.145,-6.847,1,10,33,0.0333,136.007,4,https://api.spotify.com/v1/tracks/2D3FIXKFNelMTv58DH9YeJ,audio_features,spotify:track:2D3FIXKFNelMTv58DH9YeJ,0.554
Corazón Atómico,0.62,https://api.spotify.com/v1/audio-analysis/5gEepcBJx2Y7upzg5fkCxn,Zoé,0.462,234387,0.697,latin alternative,,latin rock,mexican rock,rock en espanol,,,,,,5gEepcBJx2Y7upzg5fkCxn,0.00878,11,0.103,-7.762,0,4,54,0.0389,93.034,4,https://api.spotify.com/v1/tracks/5gEepcBJx2Y7upzg5fkCxn,audio_features,spotify:track:5gEepcBJx2Y7upzg5fkCxn,0.357
Here's To Us,0.105,https://api.spotify.com/v1/audio-analysis/7nugvFppp4iogs6mwv6AJc,Ellie Goulding,0.618,229400,0.76,dance pop,,electropop,metropopolis,pop,post-teen pop,tropical house,,,,7nugvFppp4iogs6mwv6AJc,0.000173,5,0.0947,-7.299,0,6,48,0.0424,111.984,4,https://api.spotify.com/v1/tracks/7nugvFppp4iogs6mwv6AJc,audio_features,spotify:track:7nugvFppp4iogs6mwv6AJc,0.254
Higher Than The Sun,0.0218,https://api.spotify.com/v1/audio-analysis/0I67XU9xOD2ptzwluiYgKT,Keane,0.415,201653,0.639,neo mellow,,piano rock,pop rock,rock,,,,,,0I67XU9xOD2ptzwluiYgKT,0.0,2,0.112,-5.997,1,4,47,0.0326,179.978,4,https://api.spotify.com/v1/tracks/0I67XU9xOD2ptzwluiYgKT,audio_features,spotify:track:0I67XU9xOD2ptzwluiYgKT,0.497
